指标名称,产量:火电:当月值,产量:水电:当月值,进口平均单价:碳酸钙:当月值
2010-01-31,2932.35 ,302.09 ,457.96 
2010-02-28,2299.00 ,260.00 ,506.94 
2010-03-31,2883.00 ,339.20 ,471.48 
2010-04-30,2764.30 ,416.20 ,508.19 
2010-05-31,2709.30 ,558.70 ,499.21 
2010-06-30,2616.60 ,703.80 ,438.86 
2010-07-31,2809.10 ,826.80 ,468.03 
2010-08-31,2951.20 ,822.50 ,466.09 
2010-09-30,2600.90 ,755.50 ,459.86 
2010-10-31,2562.60 ,630.30 ,495.70 
2010-11-30,2789.50 ,507.20 ,489.07 
2010-12-31,3040.90 ,472.30 ,503.33 
2011-01-31,3113.30 ,398.43 ,523.59 
2011-02-28,2624.00 ,325.40 ,498.47 
2011-03-31,3232.40 ,411.60 ,506.05 
2011-04-30,3070.40 ,421.00 ,590.92 
2011-05-31,3087.00 ,511.40 ,524.08 
2011-06-30,3127.50 ,664.10 ,610.53 
2011-07-31,3392.00 ,698.30 ,461.69 
2011-08-31,3457.70 ,656.10 ,518.19 
2011-09-30,3146.40 ,568.50 ,648.55 
2011-10-31,2990.30 ,501.20 ,500.80 
2011-11-30,3063.20 ,493.50 ,467.89 
2011-12-31,3425.10 ,442.10 ,439.42 
2012-01-31,2942.68 ,350.93 ,457.51 
2012-02-29,3146.15 ,336.63 ,453.34 
2012-03-31,3443.50 ,413.10 ,577.20 
2012-04-30,3049.10 ,438.30 ,544.80 
2012-05-31,3014.70 ,665.50 ,482.26 
2012-06-30,2953.40 ,752.80 ,504.27 
2012-07-31,3215.20 ,916.30 ,652.39 
2012-08-31,3207.90 ,944.50 ,575.81 
2012-09-30,2851.20 ,842.70 ,528.08 
2012-10-31,2925.90 ,741.00 ,608.31 
2012-11-30,3193.60 ,568.80 ,534.41 
2012-12-31,3554.20 ,501.10 ,549.97 
2013-01-31,3714.60 ,453.80 ,470.20 
2013-02-28,2715.20 ,366.30 ,634.35 
2013-03-31,3527.00 ,477.80 ,496.54 
2013-04-30,3307.60 ,502.50 ,523.47 
2013-05-31,3256.40 ,656.20 ,484.67 
2013-06-30,3240.09 ,814.78 ,598.82 
2013-07-31,3750.95 ,854.09 ,496.84 
2013-08-31,3951.08 ,841.69 ,487.33 
2013-09-30,3323.89 ,782.98 ,457.05 
2013-10-31,3397.31 ,694.33 ,494.14 
2013-11-30,3585.33 ,589.01 ,477.90 
2013-12-31,4008.46 ,543.47 ,523.77 
2014-01-10,,,
2014-01-20,,,
2014-01-31,3613.93 ,492.04 ,412.50 
2014-02-10,,,
2014-02-20,,,
2014-02-28,3225.16 ,417.62 ,523.23 
2014-03-10,,,
2014-03-20,,,
2014-03-31,3754.80 ,534.00 ,512.32 
2014-04-10,,,
2014-04-20,,,
2014-04-30,3411.90 ,619.70 ,559.07 
2014-05-10,,,
2014-05-20,,,
2014-05-31,3402.70 ,740.00 ,479.68 
2014-06-10,,,
2014-06-20,,,
2014-06-30,3460.60 ,874.60 ,474.50 
2014-07-10,,,
2014-07-20,,,
2014-07-31,3664.00 ,1132.00 ,420.50 
2014-08-10,,,
2014-08-20,,,
2014-08-31,3528.00 ,1178.00 ,437.13 
2014-09-10,,,
2014-09-20,,,
2014-09-30,3146.46 ,1144.07 ,525.21 
2014-10-10,,,
2014-10-20,,,
2014-10-31,3206.00 ,967.00 ,465.45 
2014-11-10,,,
2014-11-20,,,
2014-11-30,3455.00 ,746.00 ,476.38 
2014-12-10,,,
2014-12-20,,,
2014-12-31,3980.00 ,596.00 ,608.93 
2015-01-10,,,
2015-01-20,,,
2015-01-31,4030.50 ,565.27 ,402.21 
2015-02-10,,,
2015-02-28,2914.30 ,471.80 ,423.76 
2015-03-10,,,
2015-03-20,,,
2015-03-31,3497.00 ,676.00 ,501.14 
2015-04-10,,,
2015-04-20,,,
2015-04-30,3409.00 ,702.00 ,533.44 
2015-05-10,,,
2015-05-20,,,
2015-05-31,3444.00 ,767.00 ,497.65 
2015-06-10,,,
2015-06-20,,,
2015-06-30,3363.00 ,1028.00 ,479.77 
2015-07-10,,,
2015-07-20,,,
2015-07-31,3658.00 ,1098.00 ,454.62 
2015-08-10,,,
2015-08-20,,,
2015-08-31,3778.00 ,1046.00 ,427.17 
2015-09-10,,,
2015-09-20,,,
2015-09-30,3146.00 ,1075.00 ,505.42 
2015-10-10,,,
2015-10-20,,,
2015-10-31,3107.22 ,994.68 ,406.08 
2015-11-10,,,
2015-11-20,,,
2015-11-30,3531.80 ,776.20 ,455.51 
2015-12-10,,,
2015-12-20,,,
2015-12-31,3856.00 ,677.00 ,400.76 
2016-01-10,,,
2016-01-20,,,
2016-01-31,,,430.20 
2016-02-10,,,
2016-02-20,,,
2016-02-29,,,401.23 
2016-03-10,,,
2016-03-20,,,
2016-03-31,3641.91 ,747.42 ,459.29 
2016-04-10,,,
2016-04-20,,,
2016-04-30,3289.00 ,779.00 ,499.49 
2016-05-10,,,
2016-05-20,,,
2016-05-31,3300.00 ,932.00 ,445.38 
2016-06-10,,,
2016-06-20,,,
2016-06-30,3457.00 ,1065.00 ,382.58 
2016-07-10,,,
2016-07-20,,,
2016-07-31,3889.00 ,1236.00 ,470.58 
2016-08-10,,,
2016-08-20,,,
2016-08-31,4138.00 ,1106.00 ,430.97 
2016-09-10,,,
2016-09-20,,,
2016-09-30,3612.00 ,952.00 ,443.20 
2016-10-07,,,
2016-10-10,,,
2016-10-14,,,
2016-10-20,,,
2016-10-21,,,
2016-10-28,,,
2016-10-31,3555.00 ,925.00 ,487.11 
2016-11-04,,,
2016-11-10,,,
2016-11-11,,,
2016-11-18,,,
2016-11-20,,,
2016-11-25,,,
2016-11-30,3797.00 ,803.60 ,438.57 
2016-12-02,,,
2016-12-09,,,
2016-12-10,,,
2016-12-16,,,
2016-12-20,,,
2016-12-23,,,
2016-12-30,,,
2016-12-31,4235.80 ,650.50 ,475.02 
2017-01-06,,,
2017-01-10,,,
2017-01-13,,,
2017-01-20,,,
2017-01-27,,,
2017-01-31,,,394.11 
2017-02-03,,,
2017-02-10,,,
2017-02-17,,,
2017-02-20,,,
2017-02-24,,,
2017-02-28,,,457.00 
2017-03-03,,,
2017-03-10,,,
2017-03-17,,,
2017-03-20,,,
2017-03-24,,,
2017-03-31,3960.80 ,725.20 ,505.99 
2017-04-07,,,
2017-04-10,,,
2017-04-14,,,
2017-04-20,,,
2017-04-21,,,
2017-04-28,,,
2017-04-30,3521.80 ,743.40 ,436.66 
2017-05-05,,,
2017-05-10,,,
2017-05-12,,,
2017-05-19,,,
2017-05-20,,,
2017-05-26,,,
2017-05-31,3553.00 ,886.00 ,426.16 
2017-06-02,,,
2017-06-09,,,
2017-06-10,,,
2017-06-16,,,
2017-06-20,,,
2017-06-23,,,
2017-06-30,3710.00 ,1044.00 ,405.55 
2017-07-07,,,
2017-07-10,,,
2017-07-14,,,
2017-07-20,,,
2017-07-21,,,
2017-07-28,,,
2017-07-31,4334.00 ,1246.00 ,
2017-08-04,,,
2017-08-10,,,
2017-08-11,,,
